"","ARI","n.clusters","runtime","seed"
"1",0.243963754102076,9,2.19526635011037,256619620.044869
"2",0.1891298134108,18,3.07294533252716,944572203.246375
"3",0.1891298134108,19,2.98039726813634,1304678437.70878
"4",0.269034527777998,10,1.57877931594849,641513031.909379
"5",0.247990017163587,9,2.62434920072556,1528631912.95258
"6",0.266376716677439,8,1.44628446499507,7961868.37329627
"7",0.1891298134108,18,2.29961280028025,1048391130.06419
"8",0.262483630930007,8,1.98354236682256,138370912.406321
"9",0.212679638433954,11,1.46233785152435,1549102411.27345
"10",0.212679638433954,11,1.39692275126775,724805269.476539
